snapshot_date,port,berth_name,status,remarks
2026-08-10,GOPALPUR,MPB-2,Vacant,
2026-08-10,GOPALPUR,MPB-3,Vacant,
2026-08-10,KRISHNAPATNAM,LB,Vacant,
2026-08-10,KRISHNAPATNAM,WB-1,Vacant,
2026-08-10,KRISHNAPATNAM,S4A,Vacant,
2026-08-10,KRISHNAPATNAM,8,Vacant,
2026-08-10,KRISHNAPATNAM,1,Vacant,
2026-08-10,KRISHNAPATNAM,B1A,Vacant,
2026-08-10,KATTUPALLI,CB1,Vacant,
2026-08-10,KATTUPALLI,CB2,Vacant,
2026-08-10,KATTUPALLI,CB3,Vacant,
2026-08-10,KATTUPALLI,CB2-C,Vacant,
2026-08-10,DHAMRA,B - 1/17.2/350,Vacant,
2026-08-10,DHAMRA,B- 2/17.2/350,Vacant,
2026-08-10,DHAMRA,B-3N / 17,Vacant,
2026-08-10,GANGAVARAM,B5,Vacant,
2026-08-10,GANGAVARAM,B9,Vacant,
2026-08-10,VISAKHAPATNAM,OB-2,Vacant,
2026-08-10,VISAKHAPATNAM,C.THERMAL,Vacant,
2026-08-10,VISAKHAPATNAM,CB-1,Vacant,
2026-08-10,VISAKHAPATNAM,CB-2,Vacant,
2026-08-10,VISAKHAPATNAM,SPM,Vacant,
2026-08-10,VISAKHAPATNAM,OSIT,Vacant,
2026-08-10,VISAKHAPATNAM,OSIT A/S,Vacant,
2026-08-10,VISAKHAPATNAM,LPG,Vacant,
2026-08-10,VISAKHAPATNAM,LPG A/S,Vacant,
2026-08-10,VISAKHAPATNAM,HSY JETTY,Vacant,
2026-08-10,VISAKHAPATNAM,BB1,Vacant,
2026-08-10,VISAKHAPATNAM,BB2,Vacant,
2026-08-10,VISAKHAPATNAM,NAVEL JETTY,Vacant,
2026-08-10,VISAKHAPATNAM,AVCTPL[EQ-1A],Vacant,
2026-08-10,VISAKHAPATNAM,[EQ-1] (ADANI),Vacant,
2026-08-10,VISAKHAPATNAM,EQ-5,Vacant,
2026-08-10,VISAKHAPATNAM,EQ-10 (EIPL)AVR INFRA,Vacant,
2026-08-10,VISAKHAPATNAM,GR.CH.B,Vacant,
2026-08-10,VISAKHAPATNAM,WQ-1 RE,Vacant,
2026-08-10,VISAKHAPATNAM,WQ-4,Vacant,
2026-08-10,VISAKHAPATNAM,WQ-5,Vacant,
2026-08-10,VISAKHAPATNAM,WQ-8,Vacant,
2026-08-10,VISAKHAPATNAM,F.B,Vacant,
2026-08-11,GOPALPUR,MPB-1,Vacant,
2026-08-11,GOPALPUR,MPB-2,Vacant,
2026-08-11,GOPALPUR,MPB-3,Vacant,
2026-08-11,KRISHNAPATNAM,LB,Vacant,
2026-08-11,KRISHNAPATNAM,S4A,Vacant,
2026-08-11,KRISHNAPATNAM,8,Vacant,
2026-08-11,KRISHNAPATNAM,1,Vacant,
2026-08-11,KRISHNAPATNAM,B1A,Vacant,
2026-08-11,KATTUPALLI,CB1,Vacant,
2026-08-11,KATTUPALLI,CB2,Vacant,
2026-08-11,KATTUPALLI,CB3,Vacant,
2026-08-11,KATTUPALLI,CB2-C,Vacant,
2026-08-11,DHAMRA,B - 1/17.2/350,Vacant,
2026-08-11,DHAMRA,B- 2/17.2/350,Vacant,
2026-08-11,DHAMRA,B-3N / 17,Vacant,
2026-08-11,GANGAVARAM,B3,Vacant,
2026-08-11,GANGAVARAM,B5,Vacant,
2026-08-11,GANGAVARAM,B9,Vacant,
2026-08-11,VISAKHAPATNAM,OB-2,Vacant,
2026-08-11,VISAKHAPATNAM,C.THERMAL,Vacant,
2026-08-11,VISAKHAPATNAM,CB-1,Vacant,
2026-08-11,VISAKHAPATNAM,CB-2,Vacant,
2026-08-11,VISAKHAPATNAM,SPM,Vacant,
2026-08-11,VISAKHAPATNAM,OSIT,Vacant,
2026-08-11,VISAKHAPATNAM,OSIT A/S,Vacant,
2026-08-11,VISAKHAPATNAM,LPG,Vacant,
2026-08-11,VISAKHAPATNAM,LPG A/S,Vacant,
2026-08-11,VISAKHAPATNAM,HSY JETTY,Vacant,
2026-08-11,VISAKHAPATNAM,BB1,Vacant,
2026-08-11,VISAKHAPATNAM,BB2,Vacant,
2026-08-11,VISAKHAPATNAM,NAVEL JETTY,Vacant,
2026-08-11,VISAKHAPATNAM,[EQ-1] (ADANI),Vacant,
2026-08-11,VISAKHAPATNAM,EQ-5,Vacant,
2026-08-11,VISAKHAPATNAM,EQ-10 (EIPL)AVR INFRA,Vacant,
2026-08-11,VISAKHAPATNAM,GR.CH.B,Vacant,
2026-08-11,VISAKHAPATNAM,WQ-1 RE,Vacant,
2026-08-11,VISAKHAPATNAM,WQ-4,Vacant,
2026-08-11,VISAKHAPATNAM,WQ-6,Vacant,
2026-08-11,VISAKHAPATNAM,WQ-8,Vacant,
2026-08-11,VISAKHAPATNAM,F.B,Vacant,
2026-08-12,GOPALPUR,MPB-1,Vacant,
2026-08-12,GOPALPUR,MPB-2,Vacant,
2026-08-12,GOPALPUR,MPB-3,Vacant,
2026-08-12,KRISHNAPATNAM,LB,Vacant,
2026-08-12,KRISHNAPATNAM,WB-3,Vacant,
2026-08-12,KRISHNAPATNAM,S4A,Vacant,
2026-08-12,KRISHNAPATNAM,S4,Vacant,
2026-08-12,KRISHNAPATNAM,6,Vacant,
2026-08-12,KRISHNAPATNAM,1,Vacant,
2026-08-12,KRISHNAPATNAM,B1A,Vacant,
2026-08-12,KATTUPALLI,CB1,Vacant,
2026-08-12,KATTUPALLI,CB2,Vacant,
2026-08-12,KATTUPALLI,CB2-C,Vacant,
2026-08-12,DHAMRA,B - 1/17.2/350,Vacant,
2026-08-12,DHAMRA,B- 2/17.2/350,Vacant,
2026-08-12,DHAMRA,B-3N / 17,Vacant,
2026-08-12,GANGAVARAM,B3,Vacant,
2026-08-12,GANGAVARAM,B5,Vacant,
2026-08-12,GANGAVARAM,B7,Vacant,
2026-08-12,VISAKHAPATNAM,OB-1,Vacant,
2026-08-12,VISAKHAPATNAM,C.THERMAL,Vacant,
2026-08-12,VISAKHAPATNAM,CB-1,Vacant,
2026-08-12,VISAKHAPATNAM,CB-2,Vacant,
2026-08-12,VISAKHAPATNAM,CB-4,Vacant,
2026-08-12,VISAKHAPATNAM,SPM,Vacant,
2026-08-12,VISAKHAPATNAM,OSIT,Vacant,
2026-08-12,VISAKHAPATNAM,OSIT A/S,Vacant,
